# Synthetic SQUID data — FePt caps on 3.0um SiO2 spheres
# Generated for repository demonstration purposes only
[Data]
Magnetic Field (Oe),Moment (emu),Temperature (K)
-10500.00,-1.46078747e-03,300.0
-9333.33,-1.36169345e-03,300.0
-8166.67,-1.25099565e-03,300.0
-7000.00,-1.14028985e-03,300.0
-5833.33,-1.02898346e-03,300.0
-4666.67,-9.04598696e-04,300.0
-3500.00,-7.83858040e-04,300.0
-2333.33,-6.52923465e-04,300.0
-1166.67,-5.25565657e-04,300.0
0.00,-4.00229083e-04,300.0
1166.67,-2.70198662e-04,300.0
2333.33,-1.38810031e-04,300.0
3500.00,-1.06988329e-05,300.0
4666.67,1.20820709e-04,300.0
5833.33,2.46657954e-04,300.0
7000.00,3.72193921e-04,300.0
8166.67,5.03140562e-04,300.0
9333.33,6.31043955e-04,300.0
10500.00,7.75610138e-04,300.0
11666.67,9.26137645e-04,300.0
12833.33,1.08424072e-03,300.0
14000.00,1.25203855e-03,300.0
15166.67,1.42570066e-03,300.0
16333.33,1.59254542e-03,300.0
17500.00,1.73734893e-03,300.0
18666.67,1.86224943e-03,300.0
19833.33,1.97351122e-03,300.0
21000.00,2.05387873e-03,300.0
22166.67,2.13001823e-03,300.0
23333.33,2.18698802e-03,300.0
24500.00,2.23972656e-03,300.0
25666.67,2.27858196e-03,300.0
26833.33,2.31959641e-03,300.0
28000.00,2.34958513e-03,300.0
29166.67,2.37374420e-03,300.0
30333.33,2.39824033e-03,300.0
31500.00,2.42377937e-03,300.0
32666.67,2.44681648e-03,300.0
33833.33,2.46218315e-03,300.0
35000.00,2.47789215e-03,300.0
36166.67,2.49145016e-03,300.0
37333.33,2.50607707e-03,300.0
38500.00,2.51670856e-03,300.0
39666.67,2.52668062e-03,300.0
40833.33,2.53325464e-03,300.0
42000.00,2.54575365e-03,300.0
43166.67,2.55340757e-03,300.0
44333.33,2.55462141e-03,300.0
45500.00,2.56768946e-03,300.0
46666.67,2.56978560e-03,300.0
47833.33,2.57207516e-03,300.0
49000.00,2.57346751e-03,300.0
50166.67,2.58238140e-03,300.0
51333.33,2.58558717e-03,300.0
52500.00,2.58633994e-03,300.0
53666.67,2.58670102e-03,300.0
54833.33,2.59500719e-03,300.0
56000.00,2.59381265e-03,300.0
57166.67,2.59605838e-03,300.0
58333.33,2.60451103e-03,300.0
59500.00,2.60472003e-03,300.0
60666.67,2.60386129e-03,300.0
61833.33,2.60239495e-03,300.0
63000.00,2.60583399e-03,300.0
64166.67,2.60109211e-03,300.0
65333.33,2.60689076e-03,300.0
66500.00,2.60609402e-03,300.0
67666.67,2.60590123e-03,300.0
68833.33,2.60609689e-03,300.0
70000.00,2.61104166e-03,300.0
