# Synthetic SQUID data — FePt caps on 3.0um SiO2 spheres
# Generated for repository demonstration purposes only
[Data]
Magnetic Field (Oe),Moment (emu),Temperature (K)
-42000.00,-1.74368789e-03,300.0
-43166.67,-1.75063588e-03,300.0
-44333.33,-1.76008765e-03,300.0
-45500.00,-1.76242889e-03,300.0
-46666.67,-1.76964820e-03,300.0
-47833.33,-1.77132945e-03,300.0
-49000.00,-1.77752939e-03,300.0
-50166.67,-1.77973064e-03,300.0
-51333.33,-1.78203524e-03,300.0
-52500.00,-1.78676583e-03,300.0
-53666.67,-1.79203388e-03,300.0
-54833.33,-1.79578706e-03,300.0
-56000.00,-1.79148264e-03,300.0
-57166.67,-1.79722453e-03,300.0
-58333.33,-1.80019692e-03,300.0
-59500.00,-1.80017560e-03,300.0
-60666.67,-1.80233665e-03,300.0
-61833.33,-1.80160152e-03,300.0
-63000.00,-1.80446722e-03,300.0
-64166.67,-1.80562755e-03,300.0
-65333.33,-1.80810686e-03,300.0
-66500.00,-1.80667453e-03,300.0
-67666.67,-1.81054018e-03,300.0
-68833.33,-1.80793072e-03,300.0
-70000.00,-1.80694350e-03,300.0
-70000.00,-2.61304075e-03,300.0
-68833.33,-2.61419496e-03,300.0
-67666.67,-2.60723869e-03,300.0
-66500.00,-2.60251787e-03,300.0
-65333.33,-2.60867954e-03,300.0
-64166.67,-2.60815644e-03,300.0
-63000.00,-2.60335713e-03,300.0
-61833.33,-2.60498724e-03,300.0
-60666.67,-2.60296587e-03,300.0
-59500.00,-2.60116034e-03,300.0
-58333.33,-2.59775576e-03,300.0
-57166.67,-2.59781252e-03,300.0
-56000.00,-2.59443358e-03,300.0
-54833.33,-2.59311139e-03,300.0
-53666.67,-2.59197162e-03,300.0
-52500.00,-2.58817110e-03,300.0
-51333.33,-2.58637334e-03,300.0
-50166.67,-2.58105530e-03,300.0
-49000.00,-2.57952495e-03,300.0
-47833.33,-2.57523855e-03,300.0
-46666.67,-2.56542919e-03,300.0
-45500.00,-2.56319686e-03,300.0
-44333.33,-2.55733834e-03,300.0
-43166.67,-2.54966857e-03,300.0
-42000.00,-2.54423597e-03,300.0
-40833.33,-2.53570718e-03,300.0
-39666.67,-2.52531113e-03,300.0
-38500.00,-2.51545525e-03,300.0
-37333.33,-2.50702539e-03,300.0
-36166.67,-2.49042354e-03,300.0
-35000.00,-2.47920705e-03,300.0
-33833.33,-2.46446898e-03,300.0
-32666.67,-2.44671088e-03,300.0
-31500.00,-2.42627946e-03,300.0
-30333.33,-2.40066506e-03,300.0
-29166.67,-2.38230690e-03,300.0
-28000.00,-2.35305345e-03,300.0
-26833.33,-2.32820063e-03,300.0
-25666.67,-2.29135149e-03,300.0
-24500.00,-2.25357114e-03,300.0
-23333.33,-2.21618124e-03,300.0
-22166.67,-2.17333118e-03,300.0
-21000.00,-2.12371052e-03,300.0
-19833.33,-2.07032427e-03,300.0
-18666.67,-2.01312218e-03,300.0
-17500.00,-1.94814557e-03,300.0
-16333.33,-1.88399879e-03,300.0
-15166.67,-1.81242082e-03,300.0
-14000.00,-1.73265374e-03,300.0
-12833.33,-1.64797323e-03,300.0
-11666.67,-1.55728189e-03,300.0
-10500.00,-1.46153988e-03,300.0
-9333.33,-1.35957597e-03,300.0
-8166.67,-1.25642398e-03,300.0
-7000.00,-1.13964637e-03,300.0
-5833.33,-1.02619369e-03,300.0
-4666.67,-9.07188913e-04,300.0
-3500.00,-7.80053141e-04,300.0
-2333.33,-6.52561443e-04,300.0
-1166.67,-5.26193656e-04,300.0
0.00,-3.97699583e-04,300.0
1166.67,-2.70293357e-04,300.0
2333.33,-1.33270603e-04,300.0
3500.00,-8.46069403e-06,300.0
4666.67,1.15491714e-04,300.0
5833.33,2.43616731e-04,300.0
7000.00,3.72932734e-04,300.0
8166.67,4.98876308e-04,300.0
9333.33,6.35445775e-04,300.0
10500.00,7.74072265e-04,300.0
11666.67,9.26857372e-04,300.0
12833.33,1.08652293e-03,300.0
14000.00,1.24803641e-03,300.0
15166.67,1.42465240e-03,300.0
16333.33,1.58539326e-03,300.0
17500.00,1.73915847e-03,300.0
18666.67,1.86482700e-03,300.0
19833.33,1.97171642e-03,300.0
21000.00,2.05550558e-03,300.0
22166.67,2.13266868e-03,300.0
23333.33,2.19219208e-03,300.0
24500.00,2.23573582e-03,300.0
25666.67,2.28102654e-03,300.0
26833.33,2.31560211e-03,300.0
28000.00,2.34893745e-03,300.0
29166.67,2.37466661e-03,300.0
30333.33,2.40592225e-03,300.0
31500.00,2.42247320e-03,300.0
32666.67,2.44363589e-03,300.0
33833.33,2.46293206e-03,300.0
35000.00,2.47646278e-03,300.0
36166.67,2.49144334e-03,300.0
37333.33,2.50347399e-03,300.0
38500.00,2.51568699e-03,300.0
39666.67,2.52377884e-03,300.0
40833.33,2.53434811e-03,300.0
42000.00,2.54296416e-03,300.0
43166.67,2.55001396e-03,300.0
44333.33,2.55733750e-03,300.0
45500.00,2.56250026e-03,300.0
46666.67,2.56984701e-03,300.0
47833.33,2.57240478e-03,300.0
49000.00,2.57700293e-03,300.0
50166.67,2.57973814e-03,300.0
51333.33,2.58341912e-03,300.0
52500.00,2.58500222e-03,300.0
53666.67,2.59131970e-03,300.0
54833.33,2.59047320e-03,300.0
56000.00,2.59349757e-03,300.0
57166.67,2.59772036e-03,300.0
58333.33,2.59962489e-03,300.0
59500.00,2.59966386e-03,300.0
60666.67,2.59791528e-03,300.0
61833.33,2.60414682e-03,300.0
63000.00,2.60505419e-03,300.0
64166.67,2.60283028e-03,300.0
65333.33,2.60821834e-03,300.0
66500.00,2.60621146e-03,300.0
67666.67,2.60622007e-03,300.0
68833.33,2.60945396e-03,300.0
70000.00,2.60963443e-03,300.0
